6332|5246|40|[Spain]|[1, 15, 30, 5, 8, 32, 16, 4, 7, 17, 13, 31, 19, 3, 23, 21, 26, 2, 24, 22, 14, 28, 33, 35, 36, 25, 20, 12, 27, 34, 6, 18]|[Spain - La Liga]|[217_16157, 217_267273, 217_16173, 217_9726, 217_9695, 217_9827, 217_266166, 217_16136, 217_16010, 217_266620, 217_16023, 217_15978, 217_16182, 217_266056, 217_15998, 217_9870, 217_9700, 217_9609, 217_9912, 217_266653, 217_9754, 217_267327, 217_16095, 217_9860, 217_16086, 217_267422, 217_9765, 217_9811, 217_9837, 217_9889, 217_9742, 217_9880, 217_9717, 217_9736, 217_9928, 217_265894, 217_266236, 217_16149, 217_9924, 217_9682]|[Regular Season]|[available]|[Belgium]|[Uruguay]|[Barcelona]|[9880, 16157, 266166, 9765, 266620, 16173, 267327, 9870, 16182, 9700, 267273, 9682, 9717, 9924, 267422, 9827, 266653, 9837, 9609, 16086, 16136, 9811, 15978, 9860, 9912, 9695, 9742, 16010, 266236, 266056, 9928, 9889, 9754, 15998, 265894, 16149, 16095, 16023, 9726, 9736]|[2015/2016, 2018/2019, 2017/2018]|[male]|[2015/2016, 2018/2019, 2017/2018]|[217]|[La Liga]|[2019-01-20 00:00:00, 2017-12-10 00:00:00, 2016-01-23 00:00:00, 2018-01-07 00:00:00, 2016-02-20 00:00:00, 2017-09-19 00:00:00, 2018-05-09 00:00:00, 2018-12-08 00:00:00, 2015-08-29 00:00:00, 2018-09-15 00:00:00, 2017-12-23 00:00:00, 2015-12-30 00:00:00, 2015-09-12 00:00:00, 2019-02-16 00:00:00, 2018-01-21 00:00:00, 2017-11-26 00:00:00, 2018-02-24 00:00:00, 2018-03-01 00:00:00, 2018-04-17 00:00:00, 2018-04-07 00:00:00, 2018-03-04 00:00:00, 2019-02-10 00:00:00, 2018-04-14 00:00:00, 2018-09-29 00:00:00, 2018-05-06 00:00:00, 2018-03-31 00:00:00, 2016-03-03 00:00:00, 2017-12-02 00:00:00, 2017-11-18 00:00:00, 2018-09-26 00:00:00, 2017-12-17 00:00:00, 2018-01-14 00:00:00, 2019-02-02 00:00:00, 2015-08-23 00:00:00, 2018-04-29 00:00:00, 2016-03-06 00:00:00, 2018-10-07 00:00:00, 2016-01-09 00:00:00, 2019-01-27 00:00:00, 2018-12-16 00:00:00]
6349|3497|1|[Spain]|[23]|[Spain - La Liga]|[213_267675]|[Regular Season]|[available]|[Argentina]|[Spain]|[Sevilla]|[267675]|[2013/2014]|[male]|[2013/2014]|[213]|[La Liga]|[2014-02-09 00:00:00]
6354|5172|2|[International]|[5, 4]|[International - FIFA World Cup]|[796_7582, 796_8652]|[Round of 16, Quarter-finals]|[available]|[Russia]|[Russia]|[Russia]|[8652, 7582]|[2018]|[male]|[2018]|[796]|[FIFA World Cup]|[2018-07-01 00:00:00, 2018-07-07 00:00:00]
6360|5678|1|[International]|[4]|[International - FIFA World Cup]|[769_7585]|[Round of 16]|[available]|[Colombia]|[Colombia]|[Colombia]|[7585]|[2018]|[male]|[2018]|[769]|[FIFA World Cup]|[2018-07-03 00:00:00]
6400|5742|1|[Spain]|[9]|[Spain - La Liga]|[213_16029]|[Regular Season]|[available]|[Spain]|[Argentina]|[Sevilla]|[16029]|[2018/2019]|[male]|[2018/2019]|[213]|[La Liga]|[2018-10-20 00:00:00]
6426|5255|3|[International]|[1, 2, 5]|[International - FIFA World Cup]|[783_8649, 783_7578, 783_7544]|[Group Stage, Quarter-finals]|[available]|[Uruguay]|[Uruguay]|[Uruguay]|[7578, 7544, 8649]|[2018]|[male]|[2018]|[783]|[FIFA World Cup]|[2018-07-06 00:00:00, 2018-06-20 00:00:00, 2018-06-15 00:00:00]
6574|5691|1|[Spain]|[6]|[Spain - La Liga]|[211_9620]|[Regular Season]|[available]|[Brazil]|[Colombia]|[Girona]|[9620]|[2017/2018]|[male]|[2017/2018]|[211]|[La Liga]|[2017-09-23 00:00:00]
6595|6585|2|[Spain]|[8, 32]|[Spain - La Liga]|[207_9880, 207_16023]|[Regular Season]|[available]|[Spain]|[Colombia]|[Valencia]|[9880, 16023]|[2018/2019, 2017/2018]|[male]|[2018/2019, 2017/2018]|[207]|[La Liga]|[2018-10-07 00:00:00, 2018-04-14 00:00:00]
6631|4546|2|[Spain]|[37, 18]|[Spain - La Liga]|[216_16306, 216_16120]|[Regular Season]|[available]|[France]|[Guadeloupe]|[Getafe]|[16120, 16306]|[2018/2019]|[male]|[2018/2019]|[216]|[La Liga]|[2019-01-06 00:00:00, 2019-05-12 00:00:00]
6654|5249|1|[Spain]|[31]|[Spain - La Liga]|[212_16248]|[Regular Season]|[available]|[Spain]|[Uruguay]|[Atlético Madrid]|[16248]|[2018/2019]|[male]|[2018/2019]|[212]|[La Liga]|[2019-04-06 00:00:00]
