6712|6675|1|[Spain]|[19]|[Spain - La Liga]|[322_266731]|[Regular Season]|[available]|[Argentina]|[Spain]|[Eibar]|[266731]|[2016/2017]|[male]|[2016/2017]|[322]|[La Liga]|[2017-01-22 00:00:00]
6728|6402|1|[Spain]|[22]|[Spain - La Liga]|[207_266613]|[Regular Season]|[available]|[Argentina]|[Spain]|[Valencia]|[266613]|[2013/2014]|[male]|[2013/2014]|[207]|[La Liga]|[2014-02-01 00:00:00]
6738|6603|1|[Spain]|[20]|[Spain - La Liga]|[205_16136]|[Regular Season]|[available]|[Spain]|[Greece]|[Leganés]|[16136]|[2018/2019]|[male]|[2018/2019]|[205]|[La Liga]|[2019-01-20 00:00:00]
6738|6610|2|[Spain]|[20, 6]|[Spain - La Liga]|[205_16136, 205_15998]|[Regular Season]|[available]|[Spain]|[Spain]|[Leganés]|[15998, 16136]|[2018/2019]|[male]|[2018/2019]|[205]|[La Liga]|[2018-09-26 00:00:00, 2019-01-20 00:00:00]
6751|6594|1|[Spain]|[33]|[Spain - La Liga]|[207_266557]|[Regular Season]|[available]|[Spain]|[Spain]|[Valencia]|[266557]|[2015/2016]|[male]|[2015/2016]|[207]|[La Liga]|[2016-04-17 00:00:00]
6757|6754|4|[Spain]|[3, 16, 22, 35]|[Spain - La Liga]|[214_9592, 214_267077, 214_266528, 214_9783]|[Regular Season]|[available]|[Spain]|[Spain]|[Espanyol]|[9592, 267077, 266528, 9783]|[2017/2018, 2016/2017]|[male]|[2017/2018, 2016/2017]|[214]|[La Liga]|[2017-04-29 00:00:00, 2017-09-09 00:00:00, 2018-02-04 00:00:00, 2016-12-18 00:00:00]
6776|6709|2|[Spain]|[38, 5]|[Spain - La Liga]|[322_267432, 322_9609]|[Regular Season]|[available]|[Spain]|[Spain]|[Eibar]|[9609, 267432]|[2017/2018, 2016/2017]|[male]|[2017/2018, 2016/2017]|[322]|[La Liga]|[2017-09-19 00:00:00, 2017-05-21 00:00:00]
6777|5573|2|[Spain]|[12, 31]|[Spain - La Liga]|[214_70283, 214_70306]|[Regular Season]|[available]|[Brazil]|[Mexico]|[Espanyol]|[70283, 70306]|[2013/2014]|[male]|[2013/2014]|[214]|[La Liga]|[2014-03-29 00:00:00, 2013-11-01 00:00:00]
6779|6738|3|[Spain]|[27, 16, 35]|[Spain - La Liga]|[219_9726, 219_267660, 219_9912]|[Regular Season]|[available]|[Turkey]|[Spain]|[Deportivo La Coruna]|[267660, 9912, 9726]|[2017/2018, 2016/2017]|[male]|[2017/2018, 2016/2017]|[219]|[La Liga]|[2017-12-17 00:00:00, 2017-03-12 00:00:00, 2018-04-29 00:00:00]
6847|4418|2|[Spain]|[38, 19]|[Spain - La Liga]|[1049_267506, 1049_266620]|[Regular Season]|[available]|[Venezuela (Bolivarian Republic)]|[Brazil]|[Granada]|[266620, 267506]|[2015/2016]|[male]|[2015/2016]|[1049]|[La Liga]|[2016-05-14 00:00:00, 2016-01-09 00:00:00]
6852|3625|1|[Spain]|[17]|[Spain - La Liga]|[209_16109]|[Regular Season]|[available]|[Spain]|[Morocco]|[Celta Vigo]|[16109]|[2018/2019]|[male]|[2018/2019]|[209]|[La Liga]|[2018-12-22 00:00:00]
6858|6611|2|[Spain]|[23, 4]|[Spain - La Liga]|[216_9794, 216_9602]|[Regular Season]|[available]|[Spain]|[Spain]|[Getafe]|[9602, 9794]|[2017/2018]|[male]|[2017/2018]|[216]|[La Liga]|[2017-09-16 00:00:00, 2018-02-11 00:00:00]
6861|6401|1|[Spain]|[4]|[Spain - La Liga]|[213_70301]|[Regular Season]|[available]|[Spain]|[France]|[Sevilla]|[70301]|[2013/2014]|[male]|[2013/2014]|[213]|[La Liga]|[2013-09-14 00:00:00]
6870|3333|1|[Spain]|[22]|[Spain - La Liga]|[212_69237]|[Regular Season]|[available]|[Spain]|[Spain]|[Atlético Madrid]|[69237]|[2009/2010]|[male]|[2009/2010]|[212]|[La Liga]|[2010-02-14 00:00:00]
6878|3302|2|[Spain]|[2, 5]|[Spain - La Liga]|[223_267422, 223_266838]|[Regular Season]|[available]|[Spain]|[Morocco]|[Málaga]|[267422, 266838]|[2015/2016, 2014/2015]|[male]|[2015/2016, 2014/2015]|[223]|[La Liga]|[2015-08-29 00:00:00, 2014-09-24 00:00:00]
6880|3313|1|[Spain]|[12]|[Spain - La Liga]|[218_16056]|[Regular Season]|[available]|[Paraguay]|[Argentina]|[Real Betis]|[16056]|[2018/2019]|[male]|[2018/2019]|[218]|[La Liga]|[2018-11-11 00:00:00]
6880|6777|1|[Spain]|[12]|[Spain - La Liga]|[218_16056]|[Regular Season]|[available]|[Paraguay]|[Brazil]|[Real Betis]|[16056]|[2018/2019]|[male]|[2018/2019]|[218]|[La Liga]|[2018-11-11 00:00:00]
6887|6578|2|[Spain]|[25, 6]|[Spain - La Liga]|[211_9620, 211_9811]|[Regular Season]|[available]|[Spain]|[Spain]|[Girona]|[9620, 9811]|[2017/2018]|[male]|[2017/2018]|[211]|[La Liga]|[2017-09-23 00:00:00, 2018-02-24 00:00:00]
6891|6596|5|[Spain]|[13, 8, 32, 28, 9]|[Spain - La Liga]|[207_9880, 207_266033, 207_9695, 207_16023, 207_266440]|[Regular Season]|[available]|[Argentina]|[Spain]|[Valencia]|[9880, 266033, 9695, 266440, 16023]|[2018/2019, 2017/2018, 2016/2017]|[male]|[2018/2019, 2017/2018, 2016/2017]|[207]|[La Liga]|[2016-10-22 00:00:00, 2017-03-19 00:00:00, 2018-04-14 00:00:00, 2018-10-07 00:00:00, 2017-11-26 00:00:00]
6895|6837|1|[Spain]|[12]|[Spain - La Liga]|[205_9682]|[Regular Season]|[available]|[Spain]|[Argentina]|[Leganés]|[9682]|[2017/2018]|[male]|[2017/2018]|[205]|[La Liga]|[2017-11-18 00:00:00]
6901|6744|1|[Spain]|[32]|[Spain - La Liga]|[207_9880]|[Regular Season]|[available]|[Serbia]|[Argentina]|[Valencia]|[9880]|[2017/2018]|[male]|[2017/2018]|[207]|[La Liga]|[2018-04-14 00:00:00]
6908|6698|1|[Spain]|[24]|[Spain - La Liga]|[322_9799]|[Regular Season]|[available]|[Spain]|[Serbia]|[Eibar]|[9799]|[2017/2018]|[male]|[2017/2018]|[322]|[La Liga]|[2018-02-17 00:00:00]
6913|6779|4|[Spain]|[27, 8, 16, 35]|[Spain - La Liga]|[219_267492, 219_9726, 219_267660, 219_9912]|[Regular Season]|[available]|[Spain]|[Turkey]|[Deportivo La Coruna]|[267660, 9912, 267492, 9726]|[2016/2017, 2017/2018]|[male]|[2016/2017, 2017/2018]|[219]|[La Liga]|[2017-12-17 00:00:00, 2017-03-12 00:00:00, 2018-04-29 00:00:00, 2016-10-15 00:00:00]
6914|6730|4|[Spain]|[5, 24, 28, 9]|[Spain - La Liga]|[360_70302, 360_70276, 360_265918, 360_70307]|[Regular Season]|[available]|[Spain]|[Spain]|[Rayo Vallecano]|[70276, 265918, 70302, 70307]|[2012/2013, 2013/2014]|[male]|[2012/2013, 2013/2014]|[360]|[La Liga]|[2013-03-17 00:00:00, 2014-02-15 00:00:00, 2013-09-21 00:00:00, 2012-10-27 00:00:00]
6925|3497|1|[Spain]|[23]|[Spain - La Liga]|[213_267675]|[Regular Season]|[available]|[Spain]|[Spain]|[Sevilla]|[267675]|[2013/2014]|[male]|[2013/2014]|[213]|[La Liga]|[2014-02-09 00:00:00]
6932|6930|1|[Spain]|[26]|[Spain - La Liga]|[208_9827]|[Regular Season]|[available]|[Spain]|[Argentina]|[Las Palmas]|[9827]|[2017/2018]|[male]|[2017/2018]|[208]|[La Liga]|[2018-03-01 00:00:00]
6935|6839|1|[Spain]|[1]|[Spain - La Liga]|[206_15946]|[Regular Season]|[available]|[Spain]|[Colombia]|[Deportivo Alavés]|[15946]|[2018/2019]|[male]|[2018/2019]|[206]|[La Liga]|[2018-08-18 00:00:00]
7069|6885|1|[Spain]|[4]|[Spain - La Liga]|[210_15978]|[Regular Season]|[available]|[Spain]|[Portugal]|[Real Sociedad]|[15978]|[2018/2019]|[male]|[2018/2019]|[210]|[La Liga]|[2018-09-15 00:00:00]
7154|6356|1|[Spain]|[26]|[Spain - La Liga]|[213_265839]|[Regular Season]|[available]|[Uruguay]|[Denmark]|[Sevilla]|[265839]|[2015/2016]|[male]|[2015/2016]|[213]|[La Liga]|[2016-02-28 00:00:00]
7181|4970|2|[United States of America]|[15, 19]|[United States of America - NWSL]|[763_7492, 763_7490]|[Regular Season]|[available]|[United States of America]|[United States of America]|[Sky Blue FC]|[7490, 7492]|[2018]|[female]|[2018]|[763]|[NWSL]|[2018-07-22 00:00:00, 2018-08-06 00:00:00]
7181|4986|3|[United States of America]|[13, 15, 19]|[United States of America - NWSL]|[763_7476, 763_7492, 763_7490]|[Regular Season]|[available]|[United States of America]|[United States of America]|[Sky Blue FC]|[7490, 7492, 7476]|[2018]|[female]|[2018]|[763]|[NWSL]|[2018-07-22 00:00:00, 2018-08-06 00:00:00, 2018-07-08 00:00:00]
7578|6567|1|[Spain]|[25]|[Spain - La Liga]|[211_9811]|[Regular Season]|[available]|[Honduras]|[Spain]|[Girona]|[9811]|[2017/2018]|[male]|[2017/2018]|[211]|[La Liga]|[2018-02-24 00:00:00]
7621|6741|1|[Spain]|[37]|[Spain - La Liga]|[216_16306]|[Regular Season]|[available]|[Spain]|[Spain]|[Getafe]|[16306]|[2018/2019]|[male]|[2018/2019]|[216]|[La Liga]|[2019-05-12 00:00:00]
7701|6559|1|[Spain]|[32]|[Spain - La Liga]|[395_70219]|[Regular Season]|[available]|[Argentina]|[Spain]|[Real Zaragoza]|[70219]|[2011/2012]|[male]|[2011/2012]|[395]|[La Liga]|[2012-04-07 00:00:00]
8199|5064|1|[United States of America]|[20]|[United States of America - NWSL]|[764_7500]|[Regular Season]|[available]|[United States of America]|[United States of America]|[Orlando Pride]|[7500]|[2018]|[female]|[2018]|[764]|[NWSL]|[2018-08-12 00:00:00]
8815|5522|1|[International]|[1]|[International - FIFA World Cup]|[776_7532]|[Group Stage]|[available]|[Denmark]|[Denmark]|[Denmark]|[7532]|[2018]|[male]|[2018]|[776]|[FIFA World Cup]|[2018-06-16 00:00:00]
10161|10153|3|[International]|[3, 2, 4]|[International - Women's World Cup]|[863_69161, 863_22983, 863_22949]|[Regular Season, Round of 16]|[available]|[Spain]|[Spain]|[Spain Women's]|[69161, 22983, 22949]|[2019]|[female]|[2019]|[863]|[Women's World Cup]|[2019-06-12 00:00:00, 2019-06-24 00:00:00, 2019-06-17 00:00:00]
10183|4654|5|[International]|[3, 5, 4, 7, 6]|[International - Women's World Cup]|[865_68362, 865_69301, 865_69258, 865_69199, 865_68337]|[Regular Season, 3rd Place Final, Semi-finals]|[available]|[England]|[England]|[England Women's]|[69199, 68362, 69258, 69301, 68337]|[2019]|[female]|[2019]|[865]|[Women's World Cup]|[2019-06-23 00:00:00, 2019-06-27 00:00:00, 2019-07-06 00:00:00, 2019-07-02 00:00:00, 2019-06-19 00:00:00]
10208|10204|2|[International]|[5, 4]|[International - Women's World Cup]|[855_69191, 855_69205]|[Regular Season, Round of 16]|[available]|[Italy]|[Italy]|[Italy Women's]|[69205, 69191]|[2019]|[female]|[2019]|[855]|[Women's World Cup]|[2019-06-29 00:00:00, 2019-06-25 00:00:00]
