6658|6646|1|[Spain]|[20]|[Spain - La Liga]|[218_9765]|[Regular Season]|[available]|[Spain]|[Denmark]|[Real Betis]|[9765]|[2017/2018]|[male]|[2017/2018]|[218]|[La Liga]|[2018-01-21 00:00:00]
6660|6656|1|[Spain]|[10]|[Spain - La Liga]|[215_9661]|[Regular Season]|[available]|[Spain]|[Spain]|[Athletic Bilbao]|[9661]|[2017/2018]|[male]|[2017/2018]|[215]|[La Liga]|[2017-10-28 00:00:00]
6662|6606|1|[Spain]|[20]|[Spain - La Liga]|[215_266149]|[Regular Season]|[available]|[Spain]|[Spain]|[Athletic Bilbao]|[266149]|[2015/2016]|[male]|[2015/2016]|[215]|[La Liga]|[2016-01-17 00:00:00]
6667|6610|3|[Spain]|[25, 20, 6]|[Spain - La Liga]|[205_16136, 205_15998, 1041_265952]|[Regular Season]|[available]|[Spain]|[Spain]|[Sporting Gijón, Leganés]|[15998, 16136, 265952]|[2018/2019, 2016/2017]|[male]|[2018/2019, 2016/2017]|[1041, 205]|[La Liga]|[2018-09-26 00:00:00, 2019-01-20 00:00:00, 2017-03-01 00:00:00]
6690|3023|4|[Spain]|[13, 17, 32]|[Spain - La Liga]|[210_266885, 210_267373, 210_266240, 210_266191]|[Regular Season]|[available]|[Spain]|[Spain]|[Real Sociedad]|[266240, 266191, 267373, 266885]|[2015/2016, 2016/2017, 2014/2015]|[male]|[2015/2016, 2016/2017, 2014/2015]|[210]|[La Liga]|[2015-01-04 00:00:00, 2015-11-28 00:00:00, 2016-11-27 00:00:00, 2017-04-15 00:00:00]
6692|4498|1|[Spain]|[25]|[Spain - La Liga]|[1049_267343]|[Regular Season]|[available]|[Spain]|[Martinique]|[Granada]|[267343]|[2014/2015]|[male]|[2014/2015]|[1049]|[La Liga]|[2015-02-28 00:00:00]
6719|3253|1|[Spain]|[11]|[Spain - La Liga]|[213_266989]|[Regular Season]|[available]|[Italy]|[France]|[Sevilla]|[266989]|[2016/2017]|[male]|[2016/2017]|[213]|[La Liga]|[2016-11-06 00:00:00]
6735|5513|2|[Spain]|[25, 6]|[Spain - La Liga]|[212_69337, 212_69297]|[Regular Season]|[available]|[Spain]|[Argentina]|[Atlético Madrid]|[69297, 69337]|[2011/2012]|[male]|[2011/2012]|[212]|[La Liga]|[2011-09-24 00:00:00, 2012-02-26 00:00:00]
6762|5186|1|[Spain]|[34]|[Spain - La Liga]|[222_9928]|[Regular Season]|[available]|[Spain]|[Russia]|[Villarreal]|[9928]|[2017/2018]|[male]|[2017/2018]|[222]|[La Liga]|[2018-05-09 00:00:00]
6765|6654|2|[Spain]|[13, 31]|[Spain - La Liga]|[212_16073, 212_16248]|[Regular Season]|[available]|[Spain]|[Spain]|[Atlético Madrid]|[16248, 16073]|[2018/2019]|[male]|[2018/2019]|[212]|[La Liga]|[2018-11-24 00:00:00, 2019-04-06 00:00:00]
